se_code,se_name,margin_vol
002436,兴森科技,3.89
002437,誉衡药业,1.00
002440,闰土股份,1.00
002446,盛路通信,1.00
002449,国星光电,1.00
002459,晶澳科技,4.82
002461,珠江啤酒,2.51
002463,沪电股份,1.00
002466,天齐锂业,11.16
002472,双环传动,12.88
002481,双塔食品,1.00
002484,江海股份,10.58
002487,大金重工,6.94
002488,金固股份,1.00
002489,浙江永强,14.83
002497,雅化集团,7.12
002498,汉缆股份,1.00
002511,中顺洁柔,3.45
002518,科士达,6.30
002522,浙江众成,1.00
002530,金财互联,9.87
002531,天顺风能,1.00
002532,天山铝业,216.94
002534,西子洁能,5.00
002537,海联金汇,1.00
002539,云图控股,21.72
002541,鸿路钢构,18.11
002544,普天科技,1.00
002545,东方铁塔,10.55
002549,凯美特气,35.61
002556,辉隆股份,1.00
002558,巨人网络,1.00
002568,百润股份,6.07
002570,贝因美,1.03
002573,清新环境,1.00
002581,未名医药,6.99
002585,双星新材,25.03
002589,瑞康医药,1.00
002594,比亚迪,4.06
002597,金禾实业,1.00
002610,爱康科技,20.60
002611,东方精工,1.00
002612,朗姿股份,5.00
002617,露笑科技,3.04
002635,安洁科技,1.00
002636,金安国纪,6.46
002639,雪人股份,1.00
002641,公元股份,10.49
002643,万润股份,1.00
002645,华宏科技,8.94
002646,天佑德酒,1.00
002648,卫星化学,5.51
002662,京威股份,1.00
002664,信质集团,5.00
002675,东诚药业,1.00
002697,红旗连锁,1.00
002698,博实股份,1.00
002701,奥瑞金,72.23
002706,良信股份,13.81
002714,牧原股份,5.64
002726,龙大美食,2.00
002733,雄韬股份,1.00
002736,国信证券,37.93
002737,葵花药业,15.33
002738,中矿资源,1.00
002741,光华科技,5.00
002746,仙坛股份,1.00
002759,天际股份,9.22
002761,浙江建投,6.80
002768,国恩股份,3.00
002773,康弘药业,1.00
002782,可立克,4.00
002792,通宇通讯,1.00
002797,第一创业,2.55
002807,江阴银行,79.62
002810,山东赫达,5.00
002812,恩捷股份,1.00
002831,裕同科技,35.38
002832,比音勒芬,7.08
002837,英维克,4.00
002838,道恩股份,1.00
002839,张家港行,1.19
002840,华统股份,3.03
002847,盐津铺子,4.19
002850,科达利,12.88
002851,麦格米特,7.88
002859,洁美科技,5.00
002867,周大生,45.71
002891,中宠股份,9.05
002895,川恒股份,9.59
002901,大博医疗,6.19
002906,华阳集团,5.00
002911,佛燃能源,3.00
002912,中新赛克,1.00
002926,华西证券,30.48
002928,华夏航空,18.73
002930,宏川智慧,5.00
002932,明德生物,1.14
002935,天奥电子,1.19
002936,郑州银行,590.71
002941,新疆交建,6.20
002946,新乳业,33.75
002948,青岛银行,203.12
002958,青农商行,6.80
002960,青鸟消防,6.06
002966,苏州银行,230.15
002978,安宁股份,4.62
002984,森麒麟,5.20
002985,北摩高科,40.99
002987,京北方,2.00
003022,联泓新科,9.23
003035,南网能源,2.76
003040,楚天龙,2.00
003816,中国广核,336.14
300003,乐普医疗,12.50
300006,莱美药业,0.10
300007,汉威科技,5.41
300009,安科生物,6.93
300012,华测检测,0.38
300014,亿纬锂能,0.20
300015,爱尔眼科,14.71
300020,银江技术,0.15
300026,红日药业,12.79
300027,华谊兄弟,0.39
300031,宝通科技,7.69
300033,同花顺,3.21
300034,钢研高纳,8.36
300035,中科电气,33.36
300036,超图软件,0.39
300037,新宙邦,4.88
300039,上海凯宝,0.28
300054,鼎龙股份,0.45
300059,东方财富,142.52
300068,南都电源,0.51
300075,数字政通,8.02
300077,国民技术,16.61
300078,思创医惠,0.37
300079,数码视讯,0.42
300080,易成新能,42.55
300083,创世纪,23.51
300087,荃银高科,16.76
300088,长信科技,6.68
300101,振芯科技,0.84
300109,新开源,6.32
300114,中航电测,6.01
300118,东方日升,0.34
300122,智飞生物,8.00
300123,亚光科技,12.74
300124,汇川技术,59.07
300131,英唐智控,17.78
300133,华策影视,0.57
300134,大富科技,0.99
300136,信维通信,0.94
300143,盈康生命,7.60
300144,宋城演艺,6.16
300145,中金环境,0.24
300146,汤臣倍健,75.00
300149,睿智医药,8.36
300151,昌红科技,6.05
300158,振东制药,13.87
300170,汉得信息,0.44
300171,东富龙,31.56
300180,华峰超纤,0.41
300182,捷成股份,0.23
300183,东软载波,0.89
300185,通裕重工,71.37
300188,美亚柏科,1.92
300191,潜能恒信,0.29
300203,聚光科技,0.13
300205,天喻信息,0.15
300207,欣旺达,49.20
300208,青岛中程,8.74
300219,鸿利智汇,9.72
300222,科大智能,0.31
300223,北京君正,1.40
300224,正海磁材,9.76
300226,上海钢联,0.31
300229,拓尔思,9.58
300232,洲明科技,0.13
300233,金城医药,6.40
300236,上海新阳,0.19
300253,卫宁健康,11.96
300258,精锻科技,3.00
300263,隆华科技,12.32
300266,兴源环境,0.39
300267,尔康制药,0.70
300274,阳光电源,12.11
300284,苏交科,87.00
300294,博雅生物,29.77
300296,利亚德,2.90
300298,三诺生物,8.11
300303,聚飞光电,25.75
300319,麦捷科技,12.28
300323,华灿光电,16.74
300327,中颖电子,0.54
300328,宜安科技,0.17
300339,润和软件,0.27
300343,联创股份,0.46
300346,南大光电,0.69
300347,泰格医药,2.01
300348,长亮科技,0.27
300349,金卡智能,50.40
300355,蒙草生态,0.34
300357,我武生物,1.76
300366,创意信息,0.99
300369,绿盟科技,0.24
300373,扬杰科技,0.30
300376,易事特,176.37
300378,鼎捷软件,0.16
300382,斯莱克,6.07
300390,天华超净,14.67
300393,中来股份,48.21
300394,天孚通信,0.58
